1385
30	10	4	1.072
30	13	4	0.978
31	2	4	1.310
31	5	4	1.205
31	8	4	1.098
31	11	4	1.004
32	0	4	1.323
32	3	4	1.227
32	6	4	1.123
32	9	4	1.028
33	1	4	1.237
33	4	4	1.143
33	7	4	1.051
34	2	4	1.160
34	5	4	1.074
35	0	4	1.168
35	3	4	1.090
36	1	4	1.098
36	4	4	1.022
37	2	4	1.038
38	0	4	1.042
6	5	1	1.883
7	3	1	2.197
7	6	1	1.520
8	4	1	1.720
8	7	1	1.271
9	2	1	1.949
9	5	1	1.410
9	8	1	1.072
10	0	1	2.055
10	3	1	1.567
10	6	1	1.175
10	9	1	0.925
11	1	1	1.699
11	4	1	1.285
11	7	1	1.004
11	10	1	0.802
12	2	1	1.400
12	5	1	1.088
12	8	1	0.864
12	11	1	0.706
13	0	1	1.432
13	3	1	1.178
13	6	1	0.929
13	9	1	0.757
13	12	1	0.623
14	1	1	1.243
14	4	1	0.998
14	7	1	0.810
14	10	1	0.665
14	13	1	0.556
15	2	1	1.063
15	5	1	0.866
15	8	1	0.708
15	11	1	0.592
15	14	1	0.497
16	0	1	1.088
16	3	1	0.924
16	6	1	0.753
16	9	1	0.628
16	12	1	0.527
16	15	1	0.448
17	1	1	0.956
17	4	1	0.799
17	7	1	0.666
17	10	1	0.558
17	13	1	0.474
17	16	1	0.404
18	2	1	0.844
18	5	1	0.706
18	8	1	0.590
18	11	1	0.501
18	14	1	0.427
18	17	1	0.367
19	0	1	0.853
19	3	1	0.745
19	6	1	0.621
19	9	1	0.529
19	12	1	0.450
19	15	1	0.388
19	18	1	0.333
20	1	1	0.766
20	4	1	0.658
20	7	1	0.557
20	10	1	0.473
20	13	1	0.408
20	16	1	0.351
20	19	1	0.304
21	2	1	0.691
21	5	1	0.586
21	8	1	0.497
21	11	1	0.429
21	14	1	0.369
21	17	1	0.320
21	20	1	0.278
22	0	1	0.693
22	3	1	0.616
22	6	1	0.523
22	9	1	0.449
22	12	1	0.387
22	15	1	0.336
22	18	1	0.292
22	21	1	0.254
23	1	1	0.630
23	4	1	0.553
23	7	1	0.471
23	10	1	0.405
23	13	1	0.353
23	16	1	0.306
23	19	1	0.267
24	2	1	0.575
24	5	1	0.494
24	8	1	0.424
24	11	1	0.369
24	14	1	0.320
24	17	1	0.280
24	20	1	0.244
25	0	1	0.573
25	3	1	0.518
25	6	1	0.447
25	9	1	0.386
25	12	1	0.334
25	15	1	0.293
25	18	1	0.256
26	1	1	0.531
26	4	1	0.469
26	7	1	0.403
26	10	1	0.350
26	13	1	0.307
26	16	1	0.267
27	2	1	0.483
27	5	1	0.422
27	8	1	0.367
27	11	1	0.320
27	14	1	0.279
28	0	1	0.487
28	3	1	0.444
28	6	1	0.385
28	9	1	0.333
28	12	1	0.291
28	15	1	0.256
29	1	1	0.449
29	4	1	0.401
29	7	1	0.348
29	10	1	0.305
29	13	1	0.267
30	2	1	0.415
30	5	1	0.367
30	8	1	0.319
30	11	1	0.278
31	0	1	0.416
31	3	1	0.381
31	6	1	0.332
31	9	1	0.290
32	1	1	0.386
32	4	1	0.349
32	7	1	0.305
32	10	1	0.267
33	2	1	0.357
33	5	1	0.319
33	8	1	0.278
34	0	1	0.360
34	3	1	0.331
34	6	1	0.291
35	1	1	0.335
35	4	1	0.303
36	2	1	0.311
37	0	1	0.312
6	5	2	2.991
7	3	2	3.139
7	6	2	2.438
8	4	2	2.566
8	7	2	2.057
9	2	2	2.675
9	5	2	2.162
9	8	2	1.752
10	0	2	2.816
10	3	2	2.248
10	6	2	1.839
10	9	2	1.524
11	1	2	2.419
11	4	2	1.911
11	10	2	1.334
12	5	2	1.659
12	8	2	1.396
12	11	2	1.186
13	0	2	2.074
13	6	2	1.449
13	9	2	1.238
13	12	2	1.056
14	7	2	1.284
14	10	2	1.102
14	13	2	0.953
15	8	2	1.142
15	11	2	0.991
15	14	2	0.861
16	0	2	1.599
16	3	2	1.368
16	9	2	1.027
16	12	2	0.895
16	15	2	0.785
17	1	2	1.446
17	7	2	1.057
17	10	2	0.925
17	13	2	0.814
17	16	2	0.715
18	2	2	1.266
18	5	2	1.086
18	8	2	0.953
18	11	2	0.841
